32 15
31.9605 16.2558
31.8423 17.5067
31.6457 18.7476
31.3717 19.9738
31.0211 21.1803
30.5955 22.3625
30.0965 23.5156
29.5261 24.6351
28.8866 25.7165
28.1803 26.7557
27.4103 27.7485
26.5794 28.6909
25.6909 29.5794
24.7485 30.4103
23.7557 31.1803
22.7165 31.8866
21.6351 32.5261
20.5156 33.0965
19.3625 33.5955
18.1803 34.0211
16.9738 34.3717
15.7476 34.6457
14.5067 34.8423
13.2558 34.9605
12 35
10.7442 34.9605
9.49334 34.8423
8.25237 34.6457
7.0262 34.3717
5.81966 34.0211
4.63751 33.5955
3.48441 33.0965
2.36493 32.5261
1.28346 31.8866
0.244295 31.1803
-0.74848 30.4103
-1.69094 29.5794
-2.57937 28.6909
-3.41026 27.7485
-4.18034 26.7557
-4.88656 25.7165
-5.52613 24.6351
-6.09654 23.5156
-6.59553 22.3625
-7.02113 21.1803
-7.37166 19.9738
-7.64575 18.7476
-7.84229 17.5067
-7.96053 16.2558
-8 15
-7.96053 13.7442
-7.84229 12.4933
-7.64575 11.2524
-7.37166 10.0262
-7.02113 8.81966
-6.59553 7.63751
-6.09654 6.48441
-5.52613 5.36493
-4.88656 4.28346
-4.18034 3.24429
-3.41026 2.25152
-2.57937 1.30906
-1.69094 0.420627
-0.74848 -0.410265
0.244295 -1.18034
1.28346 -1.88656
2.36493 -2.52613
3.48441 -3.09654
4.63751 -3.59553
5.81966 -4.02113
7.0262 -4.37166
8.25237 -4.64575
9.49334 -4.84229
10.7442 -4.96053
12 -5
13.2558 -4.96053
14.5067 -4.84229
15.7476 -4.64575
16.9738 -4.37166
18.1803 -4.02113
19.3625 -3.59553
20.5156 -3.09654
21.6351 -2.52613
22.7165 -1.88656
23.7557 -1.18034
24.7485 -0.410265
25.6909 0.420627
26.5794 1.30906
27.4103 2.25152
28.1803 3.24429
28.8866 4.28346
29.5261 5.36493
30.0965 6.48441
30.5955 7.63751
31.0211 8.81966
31.3717 10.0262
31.6457 11.2524
31.8423 12.4933
31.9605 13.7442
32 15
32 15

